slug,territorio,tipo,snapshot,n_annunci,adr_mediano,adr_medio,occ_proxy,rating_medio,pct_superhost,pct_multihost,pct_licenza
sicily,Sicilia,regione,2026-06-30,56873,126,194,36.6,4.75,25.0,68.3,80.5
puglia,Puglia,regione,2026-06-30,48683,140,216,42.7,4.73,18.4,71.2,82.3
rome,Roma,città,2026-06-20,37084,162,222,41.5,4.77,41.1,65.6,88.1
milan,Milano,città,2026-06-25,25750,136,188,48.0,4.71,30.7,69.6,87.4
florence,Firenze,città,2026-06-26,13472,166,227,42.8,4.75,43.5,74.8,91.5
naples,Napoli,città,2026-06-25,11575,107,170,36.0,4.74,26.6,71.7,75.8
trentino,Trentino-Alto Adige,regione,2026-06-30,10084,165,213,52.9,4.78,25.6,66.3,90.9
venice,Venezia,città,2026-06-15,8766,202,264,43.8,4.74,46.2,76.0,94.0
bologna,Bologna,città,2026-06-26,4948,128,176,52.6,4.75,36.4,71.7,87.8
bergamo,Bergamo,città,2026-06-30,4237,124,157,40.0,4.79,31.9,65.9,87.8
